Date : 2023-12-22 18:18:54
Directory : /Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide
Total : 158 files,  45386 codes, 7424 comments, 7556 blanks, all 60366 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| ApexLog        |          7 |     13,621 |          0 |        244 |     13,865 |
| Ini            |          1 |     13,255 |        274 |      3,451 |     16,980 |
| C#             |        108 |      7,122 |      6,953 |      2,299 |     16,374 |
| HTML           |          3 |      4,782 |         84 |        840 |      5,706 |
| JSON           |         11 |      2,623 |          0 |          6 |      2,629 |
| ShaderLab      |         13 |      2,015 |         61 |        557 |      2,633 |
| XML            |          4 |      1,591 |         31 |         65 |      1,687 |
| HLSL           |          4 |        323 |         21 |         87 |        431 |
| TypeScript JSX |          7 |         54 |          0 |          7 |         61 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        158 |     45,386 |      7,424 |      7,556 |     60,366 |
| . (Files)                                                                                                                                                                        |          1 |        923 |          1 |          1 |        925 |
| Assets                                                                                                                                                                           |        130 |     10,286 |      7,035 |      2,946 |     20,267 |
| Assets/Levels                                                                                                                                                                    |          4 |        671 |          0 |          1 |        672 |
| Assets/Scripts                                                                                                                                                                   |        108 |      7,122 |      6,953 |      2,299 |     16,374 |
| Assets/Scripts/Controllers                                                                                                                                                       |         32 |      2,829 |      2,387 |        831 |      6,047 |
| Assets/Scripts/DataStructures                                                                                                                                                    |          3 |         46 |         27 |         10 |         83 |
| Assets/Scripts/Factories                                                                                                                                                         |         10 |        397 |        325 |        123 |        845 |
| Assets/Scripts/Interfaces                                                                                                                                                        |          2 |         37 |        143 |         27 |        207 |
| Assets/Scripts/Loading                                                                                                                                                           |          5 |        319 |        284 |         75 |        678 |
| Assets/Scripts/Managers                                                                                                                                                          |          4 |        798 |        525 |        192 |      1,515 |
| Assets/Scripts/Models                                                                                                                                                            |         41 |      1,971 |      2,692 |        859 |      5,522 |
| Assets/Scripts/Scriptables                                                                                                                                                       |          8 |        434 |        372 |        113 |        919 |
