"filename", "language", "XML", "JSON", "C#", "ApexLog", "TypeScript JSX", "HTML", "Ini", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", -4, 0, 0, 0, 0, 0, 0, 0, 0, -4
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level1.json", "JSON", 0, 593, 0, 0, 0, 0, 0, 0, 0, 593
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level2.json", "JSON", 0, 1888, 0, 0, 0, 0, 0, 0, 2, 1890
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level3.json", "JSON", 0, 5140, 0, 0, 0, 0, 0, 0, 9, 5149
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level4.json", "JSON", 0, 1078, 0, 0, 0, 0, 0, 0, 0, 1078
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/AcornController.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 7, 2, 11
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 0, -11, 0, 0, 0, 0, 4, 0, -7
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeSeedController.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BearController.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 5, -1, 8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BombController.cs", "C#", 0, 0, -98, 0, 0, 0, 0, -68, -26, -192
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ButterflyController.cs", "C#", 0, 0, -199, 0, 0, 0, 0, -102, -45, -346
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectableController.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ControllerController.cs", "C#", 0, 0, -40, 0, 0, 0, 0, 21, 11, -8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DefenderController.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 10, 8, 28
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DewController.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 4, 0, 6
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EconomyController.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 13, 7, 41
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyController.cs", "C#", 0, 0, 156, 0, 0, 0, 0, 106, 38, 300
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/FlooringController.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 7, 2, 14
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/HedgehogController.cs", "C#", 0, 0, -151, 0, 0, 0, 0, -93, -37, -281
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/JSONController.cs", "C#", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KnotwoodController.cs", "C#", 0, 0, 219, 0, 0, 0, 0, 77, 67, 363
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KudzuController.cs", "C#", 0, 0, -193, 0, 0, 0, 0, -131, -29, -353
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/LevelController.cs", "C#", 0, 0, -3, 0, 0, 0, 0, 0, 1, -2
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MobController.cs", "C#", 0, 0, -15, 0, 0, 0, 0, -12, -3, -30
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ModelController.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 6, 14, 58
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/NexusController.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 6, 6, 35
