"filename", "language", "JSON", "XML", "C#", "HLSL", "ShaderLab", "ApexLog", "HTML", "Ini", "TypeScript JSX", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", 0, 932, 0, 0, 0, 0, 0, 0, 0, 1, 1, 934
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level0.json", "JSON", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 284
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level1.json", "JSON", 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 356
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_easy.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_hard.json", "JSON", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level_medium.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/AcornController.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 56, 16, 124
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 0, 70, 0, 0, 0, 0, 0, 0, 52, 19, 141
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BearController.cs", "C#", 0, 0, 136, 0, 0, 0, 0, 0, 0, 83, 35, 254
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BombController.cs", "C#", 0, 0, 98, 0, 0, 0, 0, 0, 0, 70, 27, 195
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ButterflyController.cs", "C#", 0, 0, 199, 0, 0, 0, 0, 0, 0, 102, 45, 346
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/CollectableController.cs", "C#", 0, 0, 114, 0, 0, 0, 0, 0, 0, 134, 44, 292
