"filename", "language", "XML", "C#", "JSON", "ApexLog", "comment", "blank", "total"
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assembly-CSharp.csproj", "XML", 14, 0, 0, 0, -6, 0, 8
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Levels/level0.json", "JSON", 0, 0, -16, 0, 0, 0, -16
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/AcornController.cs", "C#", 0, 52, 0, 0, 56, 16, 124
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BasicTreeController.cs", "C#", 0, 53, 0, 0, 49, 18, 120
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/BombController.cs", "C#", 0, 99, 0, 0, 70, 27, 196
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ButterflyController.cs", "C#", 0, 208, 0, 0, 108, 46, 362
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ControllerController.cs", "C#", 0, 89, 0, 0, 25, 8, 122
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/DefenderController.cs", "C#", 0, -137, 0, 0, -83, -33, -253
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyController.cs", "C#", 0, -84, 0, 0, -66, -27, -177
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/EnemyManager.cs", "C#", 0, 4, 0, 0, -9, -4, -9
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/HazardController.cs", "C#", 0, 20, 0, 0, 25, 7, 52
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/InputController.cs", "C#", 0, 16, 0, 0, 11, 5, 32
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/JSONController.cs", "C#", 0, 9, 0, 0, 4, 2, 15
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/KudzuController.cs", "C#", 0, 188, 0, 0, 108, 44, 340
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/LevelController.cs", "C#", 0, -8, 0, 0, -41, -9, -58
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MainMenuController.cs", "C#", 0, 56, 0, 0, 49, 15, 120
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MobController.cs", "C#", 0, 113, 0, 0, 158, 39, 310
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/ModelController.cs", "C#", 0, 90, 0, 0, 107, 28, 225
"/Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide/Assets/Scripts/Controllers/MovingEnemyController.cs", "C#", 0, -94, 0, 0, -52, -23, -169
