Date : 2023-12-13 16:45:42
Directory : /Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide
Total : 137 files,  53759 codes, 6237 comments, 7292 blanks, all 67288 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| ApexLog        |          9 |     23,683 |          0 |        428 |     24,111 |
| Ini            |          1 |     13,255 |        274 |      3,451 |     16,980 |
| C#             |         87 |      5,788 |      5,766 |      1,853 |     13,407 |
| HTML           |          3 |      4,782 |         84 |        840 |      5,706 |
| JSON           |         11 |      2,348 |          0 |          6 |      2,354 |
| ShaderLab      |         13 |      2,015 |         61 |        557 |      2,633 |
| XML            |          4 |      1,534 |         31 |         65 |      1,630 |
| HLSL           |          4 |        323 |         21 |         87 |        431 |
| TypeScript JSX |          5 |         31 |          0 |          5 |         36 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        137 |     53,759 |      6,237 |      7,292 |     67,288 |
| . (Files)                                                                                                                                                                        |          1 |        902 |          1 |          1 |        904 |
| Assets                                                                                                                                                                           |        109 |      8,677 |      5,848 |      2,500 |     17,025 |
| Assets/Levels                                                                                                                                                                    |          4 |        396 |          0 |          1 |        397 |
| Assets/Scripts                                                                                                                                                                   |         87 |      5,788 |      5,766 |      1,853 |     13,407 |
| Assets/Scripts/Controllers                                                                                                                                                       |         27 |      2,869 |      2,292 |        786 |      5,947 |
| Assets/Scripts/Factories                                                                                                                                                         |          8 |        340 |        287 |        108 |        735 |
| Assets/Scripts/Interfaces                                                                                                                                                        |          7 |        114 |        347 |         81 |        542 |
| Assets/Scripts/Loading                                                                                                                                                           |          5 |        268 |        246 |         67 |        581 |
| Assets/Scripts/Models                                                                                                                                                            |         37 |      1,943 |      2,411 |        749 |      5,103 |
