Date : 2023-08-15 20:50:54
Directory : /Users/teddysiker/Desktop/Coding/GitHub/herbicide/Herbicide
Total : 108 files,  56318 codes, 4526 comments, 6834 blanks, all 67678 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| ApexLog        |          9 |     28,679 |          0 |        470 |     29,149 |
| Ini            |          1 |     13,255 |        274 |      3,451 |     16,980 |
| HTML           |          3 |      4,782 |         84 |        840 |      5,706 |
| C#             |         59 |      4,599 |      4,049 |      1,353 |     10,001 |
| ShaderLab      |         13 |      2,015 |         61 |        557 |      2,633 |
| XML            |          4 |      1,536 |         37 |         65 |      1,638 |
| JSON           |         10 |      1,098 |          0 |          6 |      1,104 |
| HLSL           |          4 |        323 |         21 |         87 |        431 |
| TypeScript JSX |          5 |         31 |          0 |          5 |         36 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                |        108 |     56,318 |      4,526 |      6,834 |     67,678 |
| . (Files)                                                                                                                                                                        |          1 |        888 |          7 |          1 |        896 |
| Assets                                                                                                                                                                           |         81 |      7,504 |      4,131 |      2,000 |     13,635 |
| Assets/Levels                                                                                                                                                                    |          4 |        412 |          0 |          1 |        413 |
| Assets/Scripts                                                                                                                                                                   |         59 |      4,599 |      4,049 |      1,353 |     10,001 |
| Assets/Scripts/Controllers                                                                                                                                                       |         15 |      1,863 |      1,404 |        523 |      3,790 |
| Assets/Scripts/Factories                                                                                                                                                         |          6 |        227 |        208 |         73 |        508 |
| Assets/Scripts/Interfaces                                                                                                                                                        |          6 |         91 |        268 |         70 |        429 |
| Assets/Scripts/Loading                                                                                                                                                           |          5 |        264 |        240 |         68 |        572 |
| Assets/Scripts/Models                                                                                                                                                            |         25 |      2,034 |      1,829 |        587 |      4,450 |
| Assets/Scripts/View                                                                                                                                                              |          2 |        120 |        100 |         32 |        252 |
| Assets/TextMesh Pro                                                                                                                                                              |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets/TextMesh Pro/Shaders                                                                                                                                                      |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets/TextMesh Pro/Sprites                                                                                                                                                      |          1 |        155 |          0 |          2 |        157 |
| Builds                                                                                                                                                                           |          8 |     18,565 |        388 |      4,354 |     23,307 |
| Builds/HerbicideGameplayPrototype.app                                                                                                                                            |          8 |     18,565 |        388 |      4,354 |     23,307 |
| Builds/HerbicideGameplayPrototype.app/Contents                                                                                                                                   |          8 |     18,565 |        388 |      4,354 |     23,307 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge                                                                                                                  |          5 |     18,562 |        388 |      4,353 |     23,303 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc                                                                                                              |          5 |     18,562 |        388 |      4,353 |     23,303 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc/mono                                                                                                         |          5 |     18,562 |        388 |      4,353 |     23,303 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc/mono (Files)                                                                                                 |          1 |     13,255 |        274 |      3,451 |     16,980 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc/mono/2.0                                                                                                     |          1 |      1,594 |         28 |        280 |      1,902 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc/mono/4.0                                                                                                     |          1 |      1,594 |         28 |        280 |      1,902 |
| Builds/HerbicideGameplayPrototype.app/Contents/MonoBleedingEdge/etc/mono/4.5                                                                                                     |          1 |      1,594 |         28 |        280 |      1,902 |
